SecureAuction,Finance
DosAuction,Exploit
BatchBondedToken,Token
BokkyPooBahsDateTimeLibrary,Utility;Time
BokkyPooBahsRedBlackTreeLibrary,Utility;Storage
Greeter,Communication
Greeter2,Communication
Greeter3,Communication
array-utils,Utility;Storage
DateTime,Utility;Time
Pausable,Utility
erc721,Token
EZCoin,Token
Transfer,Finance
GuardCheck,Finance
StakeBank,Token
InstaAddress,Utility;Storage
UserWallet,Wallet
JsmnSolLib,Utility;Storage
KotET,Exploit
PermissionGroups,Utility;Identification
BasicToken,Token
FundRaising,Finance
Lottery10Users,Game;Lottery
LotteryFor10,Game;Lottery
LotteryMultipleWinners,Finance;Lottery
MemoryArrayBuilding,Utility;Storage
EtherBank,Token;Exploit
GuessTheNumberChallenge,Game;Exploit
Reentrance,Token;Exploit
VulnerableTwoStep,Exploit
OpenAddressLottery,Game;Lottery
Bet,Game;Betting
Private_Bank,Token
Sets,Utility;Storage
PullOverPush,Token
Randomness,Game;Betting
EIP20StandardToken,Token
Rubixi,Financial;Exploit
EasyPayAndWithDraw,Token
FixedSupplyToken,Token
Gift_1_ETH,Exploit
StateMachine,Game;Betting
Identity,Utility;Identification
Identity2,Utility;Identification
IdentityManager,Utility;Identification
the-coin,Token
theRun,Game;Exploit
TimeBased,Utility;Lease
Casino,Game;Exploit
Crowdsale,Token
MultiSigWallet,Wallet
AddressBook,Communication
